dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
electricity,bin,45312,14,DecisionTree,default,0,0.8366367734478474,0.7614539194915254,0.0557515621185302,0.0169847981404449,31,"{""max_depth"": 4}"
electricity,bin,45312,14,DecisionTree,tuned,0,0.8643974421060316,0.7832362288135594,0.0803110599517822,0.02348827103437,121,"{""max_depth"": 6, ""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
electricity,bin,45312,14,RandomForest,default,0,0.9683891649223978,0.9050582627118644,1.6243221759796145,4.429464875641516,2225310,"{""n_estimators"": 300}"
electricity,bin,45312,14,RandomForest,tuned,0,0.9749615876865868,0.914989406779661,2.2175538539886475,2.888236510551582,1029408,"{""n_estimators"": 200, ""max_features"": 0.6, ""min_samples_leaf"": 1, ""max_depth"": null}"
electricity,bin,45312,14,HistGB,default,0,0.9545086556595476,0.880958686440678,0.2541036605834961,2.0658786771661144,3100,{}
electricity,bin,45312,14,HistGB,tuned,0,0.982865543419698,0.9358448093220338,1.805263996124268,10.199955333087404,33642,"{""learning_rate"": 0.1, ""max_iter"": 600, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.1, ""min_samples_leaf"": 10}"
electricity,bin,45312,14,XGBoost,default,0,0.9713138061686954,0.91015625,0.239161729812622,0.7148926793518713,12904,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
electricity,bin,45312,14,XGBoost,tuned,0,0.9775948790017286,0.923927436440678,0.7326774597167969,2.3203665169618897,28017,"{""n_estimators"": 1000, ""learning_rate"": 0.1, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1, ""min_child_weight"": 5}"
electricity,bin,45312,14,EBM,default,0,0.944322550003828,0.8724841101694916,252.87523913383484,0.1458545862618139,6113,{}
electricity,bin,45312,14,EBM,tuned,0,0.918463465120532,0.8433527542372882,7.672106981277466,0.203012536137791,1614,"{""max_bins"": 256, ""learning_rate"": 0.05, ""max_rounds"": 2000, ""min_samples_leaf"": 10}"
electricity,bin,45312,14,GA2M,default,0,0.9536574279932732,0.8831435381355932,432.7695302963257,0.2787022267357777,27761,"{""interactions"": 10}"
electricity,bin,45312,14,GA2M,tuned,0,0.9536574279932732,0.8831435381355932,433.2936661243439,0.2805648718850087,27761,"{""interactions"": 10}"
electricity,bin,45312,14,RuleFit,default,0,0.8859813522767037,0.7969412076271186,10.613225221633911,3.893938610109232,156,"{""max_rules"": 60}"
electricity,bin,45312,14,RuleFit,tuned,0,0.8911769745979855,0.8064751059322034,16.285277843475342,7.591162950305615,291,"{""max_rules"": 120, ""tree_size"": 4}"
electricity,bin,45312,14,FIGS,default,0,0.8685950718235846,0.7960143008474576,0.6461124420166016,2.348100987531371,20,"{""max_rules"": 20}"
electricity,bin,45312,14,FIGS,tuned,0,0.8808261172261075,0.8142876059322034,1.5675036907196045,2.848079143944433,40,"{""max_rules"": 40}"
electricity,bin,45312,14,L1-GAM,default,0,0.8843898049467067,0.804488877118644,0.6841490268707275,0.6764716768668869,83,{}
electricity,bin,45312,14,L1-GAM,tuned,0,0.8921161356332654,0.8134931144067796,1.907867193222046,0.8430521366959911,184,"{""C"": 1.0, ""n_bins"": 32}"
electricity,bin,45312,14,LogReg,default,1,0.8271266929615116,0.7599311440677966,0.123852252960205,0.0165585996740955,15,{}
electricity,bin,45312,14,LogReg,tuned,1,0.827128236030062,0.7600635593220338,0.1219356060028076,0.0161008309509794,15,"{""C"": 100}"
electricity,bin,45312,14,DecisionTree,default,1,0.8336234690965715,0.7594676906779662,0.05259370803833,0.0163691781334957,31,"{""max_depth"": 4}"
electricity,bin,45312,14,DecisionTree,tuned,1,0.8882094652399048,0.8103151483050848,0.1009693145751953,0.0256192633661173,207,"{""max_depth"": 8, ""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,14,RandomForest,default,1,0.966887148435156,0.9017478813559322,1.4874060153961182,4.361162625126919,2218460,"{""n_estimators"": 300}"
electricity,bin,45312,14,RandomForest,tuned,1,0.966734303906705,0.9032044491525424,0.9924216270446776,3.572458685454676,1478274,"{""n_estimators"": 200, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""max_depth"": null}"
electricity,bin,45312,14,HistGB,default,1,0.95184537003358,0.8747351694915254,0.2486798763275146,2.206618881831735,3100,{}
electricity,bin,45312,14,HistGB,tuned,1,0.9777408324503152,0.9233977754237288,1.210521221160889,9.383627418744362,18600,"{""learning_rate"": 0.1, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.0, ""min_samples_leaf"": 20}"
electricity,bin,45312,14,XGBoost,default,1,0.9676943078569608,0.9017478813559322,0.2331137657165527,0.7027223453683369,12782,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
electricity,bin,45312,14,XGBoost,tuned,1,0.9725886431877184,0.9128045550847458,0.4223144054412842,1.207641246965376,22874,"{""n_estimators"": 500, ""learning_rate"": 0.3, ""max_depth"": 6, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 5, ""min_child_weight"": 1}"
electricity,bin,45312,14,EBM,default,1,0.9401572896424358,0.8665254237288136,253.90585374832156,0.1451126852277982,6110,{}
